Date,SP500,iShares
9/6/2012,0.004049974,-0.000648531
9/7/2012,-0.00614783,-0.01375534
9/10/2012,0.003134956,0.001315682
9/11/2012,0.002092692,0.004862131
9/12/2012,0.016309747,0.013600095
9/13/2012,0.003958952,0.010192466
9/14/2012,-0.003124691,-0.001277335
9/17/2012,-0.001279775,0.000766958
9/18/2012,0.001185554,-0.000383185
9/19/2012,-0.000540734,-0.003962252
9/20/2012,-7.53195E-05,0.000641364
9/21/2012,-0.002232653,-0.008849579
9/24/2012,-0.010501856,-0.015704862
9/25/2012,-0.005736735,-0.008431826
9/26/2012,0.009648982,0.016476091
9/27/2012,-0.004477753,-0.008235232
9/28/2012,0.002651507,-0.003822486
10/1/2012,0.000872287,0.001852447
10/2/2012,0.003624409,0.003565931
10/3/2012,0.007174435,0.000262979
10/4/2012,-0.000321589,-0.007630458
10/5/2012,-0.003456736,-0.009412963
10/8/2012,-0.009890942,-0.013516953
10/9/2012,-0.00618803,-0.005290835
